sample_id,source_image_id,selected_instance_index,source_annotation_id,source_category_id,source_category_name,split,class_id,class_name,num_boxes,crop_size,source_width,source_height,selected_instance_bbox_width,selected_instance_bbox_height,small_box_filter_rule,random_offset_expected,context_variability_expected,mask_expected,derived_artifact_relpath,annotation_relpath,filter_stage,notes
000000000446_inst0002_crop_224_168,000000000446,2,,,potted plant,train,0,potted_plant,3,256x256,480,640,53.36,103.87,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000000560_inst0000_crop_12_45,000000000560,0,,,potted plant,train,0,potted_plant,1,256x256,460,312,55.32,62.34,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000000599_inst0000_crop_384_1,000000000599,0,,,potted plant,train,0,potted_plant,1,256x256,640,407,111.33,237.26,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000000711_inst0000_crop_248_71,000000000711,0,,,potted plant,train,0,potted_plant,3,256x256,640,480,41.34,20.79,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000000711_inst0001_crop_247_1,000000000711,1,,,potted plant,train,0,potted_plant,3,256x256,640,480,18.23,27.81,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000000711_inst0002_crop_367_103,000000000711,2,,,potted plant,train,0,potted_plant,4,256x256,640,480,21.88,25.25,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000000711_inst0003_crop_305_108,000000000711,3,,,potted plant,train,0,potted_plant,4,256x256,640,480,48.85,26.09,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000000711_inst0004_crop_345_35,000000000711,4,,,potted plant,train,0,potted_plant,4,256x256,640,480,23.63,29.7,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000000790_inst0000_crop_39_0,000000000790,0,,,potted plant,train,0,potted_plant,2,256x256,640,422,113.65,162.08,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000000790_inst0001_crop_191_0,000000000790,1,,,potted plant,train,0,potted_plant,2,256x256,640,422,112.78,126.38,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000001138_inst0000_crop_117_51,000000001138,0,,,potted plant,train,0,potted_plant,2,256x256,500,375,104.49,179.49,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000001138_inst0001_crop_12_45,000000001138,1,,,potted plant,train,0,potted_plant,3,256x256,500,375,34.29,59.84,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000001138_inst0002_crop_11_33,000000001138,2,,,potted plant,train,0,potted_plant,3,256x256,500,375,57.0,49.14,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000001145_inst0000_crop_246_117,000000001145,0,,,potted plant,train,0,potted_plant,1,256x256,640,480,80.32,93.51,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000001145_inst0001_crop_137_31,000000001145,1,,,potted plant,train,0,potted_plant,1,256x256,640,480,44.91,84.2,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000001155_inst0000_crop_157_26,000000001155,0,,,potted plant,train,0,potted_plant,1,256x256,500,332,42.61,79.12,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000001360_inst0000_crop_275_75,000000001360,0,,,potted plant,train,0,potted_plant,1,256x256,612,612,37.38,98.06,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000001393_inst0001_crop_0_215,000000001393,1,,,potted plant,train,0,potted_plant,2,256x256,437,640,60.36,221.95,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000001424_inst0000_crop_0_224,000000001424,0,,,potted plant,train,0,potted_plant,1,256x256,640,480,232.54,221.41,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000001626_inst0000_crop_244_107,000000001626,0,,,potted plant,train,0,potted_plant,2,256x256,500,375,122.07,170.13,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000001626_inst0001_crop_179_23,000000001626,1,,,potted plant,train,0,potted_plant,2,256x256,500,375,77.18,156.88,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000002083_inst0000_crop_71_25,000000002083,0,,,potted plant,train,0,potted_plant,1,256x256,640,428,40.65,32.63,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000002270_inst0000_crop_0_224,000000002270,0,,,potted plant,train,0,potted_plant,1,256x256,640,480,122.99,154.2,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000002448_inst0000_crop_29_81,000000002448,0,,,potted plant,train,0,potted_plant,1,256x256,640,480,102.34,53.95,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000002448_inst0001_crop_328_28,000000002448,1,,,potted plant,train,0,potted_plant,1,256x256,640,480,64.72,142.38,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000002466_inst0000_crop_287_22,000000002466,0,,,potted plant,train,0,potted_plant,2,256x256,640,360,131.87,145.62,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000002466_inst0001_crop_53_34,000000002466,1,,,potted plant,train,0,potted_plant,4,256x256,640,360,32.44,40.76,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000002466_inst0002_crop_220_0,000000002466,2,,,potted plant,train,0,potted_plant,4,256x256,640,360,53.28,78.3,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000002466_inst0003_crop_77_1,000000002466,3,,,potted plant,train,0,potted_plant,4,256x256,640,360,155.22,109.4,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000002466_inst0004_crop_0_0,000000002466,4,,,potted plant,train,0,potted_plant,4,256x256,640,360,122.2,153.77,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000002585_inst0000_crop_370_48,000000002585,0,,,potted plant,train,0,potted_plant,1,256x256,640,478,77.69,75.53,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000002608_inst0000_crop_34_163,000000002608,0,,,potted plant,train,0,potted_plant,1,256x256,640,480,23.39,36.09,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000002988_inst0000_crop_11_0,000000002988,0,,,potted plant,train,0,potted_plant,1,256x256,500,375,109.55,252.36,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000003602_inst0000_crop_83_91,000000003602,0,,,potted plant,train,0,potted_plant,1,256x256,640,425,77.08,59.4,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000003915_inst0000_crop_14_8,000000003915,0,,,potted plant,train,0,potted_plant,1,256x256,640,480,83.08,54.9,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000003915_inst0001_crop_384_222,000000003915,1,,,potted plant,train,0,potted_plant,1,256x256,640,480,221.09,179.53,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000003999_inst0000_crop_349_8,000000003999,0,,,potted plant,train,0,potted_plant,1,256x256,640,429,60.04,103.47,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000004498_inst0000_crop_115_145,000000004498,0,,,potted plant,train,0,potted_plant,5,256x256,468,640,36.38,47.23,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000004498_inst0001_crop_80_54,000000004498,1,,,potted plant,train,0,potted_plant,4,256x256,468,640,32.36,75.93,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000004498_inst0002_crop_212_101,000000004498,2,,,potted plant,train,0,potted_plant,4,256x256,468,640,101.45,87.31,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000004498_inst0003_crop_188_117,000000004498,3,,,potted plant,train,0,potted_plant,4,256x256,468,640,38.06,51.93,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000004498_inst0004_crop_96_67,000000004498,4,,,potted plant,train,0,potted_plant,4,256x256,468,640,50.3,49.48,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000004761_inst0000_crop_4_65,000000004761,0,,,potted plant,train,0,potted_plant,1,256x256,640,480,181.06,159.76,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000004904_inst0001_crop_353_343,000000004904,1,,,potted plant,train,0,potted_plant,2,256x256,612,612,92.34,148.4,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000004916_inst0000_crop_228_33,000000004916,0,,,potted plant,train,0,potted_plant,1,256x256,500,400,52.71,50.84,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000005086_inst0000_crop_0_222,000000005086,0,,,potted plant,train,0,potted_plant,1,256x256,640,480,237.3,154.25,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000005345_inst0000_crop_0_89,000000005345,0,,,potted plant,train,0,potted_plant,1,256x256,640,346,42.23,13.19,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000005360_inst0000_crop_334_130,000000005360,0,,,potted plant,train,0,potted_plant,1,256x256,640,471,50.92,69.81,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000005486_inst0000_crop_126_68,000000005486,0,,,potted plant,train,0,potted_plant,2,256x256,640,426,23.99,36.94,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000005486_inst0001_crop_176_80,000000005486,1,,,potted plant,train,0,potted_plant,1,256x256,640,426,89.79,124.83,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000005508_inst0000_crop_123_0,000000005508,0,,,potted plant,train,0,potted_plant,1,256x256,640,480,100.31,174.74,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000005522_inst0000_crop_108_76,000000005522,0,,,potted plant,train,0,potted_plant,1,256x256,500,375,39.3,39.3,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000005620_inst0000_crop_299_189,000000005620,0,,,potted plant,train,0,potted_plant,1,256x256,612,612,26.58,21.95,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000005620_inst0001_crop_347_246,000000005620,1,,,potted plant,train,0,potted_plant,2,256x256,612,612,23.35,23.35,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000005804_inst0000_crop_174_16,000000005804,0,,,potted plant,train,0,potted_plant,1,256x256,457,640,79.54,110.07,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000005965_inst0000_crop_244_141,000000005965,0,,,potted plant,train,0,potted_plant,2,256x256,640,480,46.35,38.96,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000005965_inst0001_crop_248_174,000000005965,1,,,potted plant,train,0,potted_plant,2,256x256,640,480,48.94,43.97,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000005965_inst0002_crop_46_29,000000005965,2,,,potted plant,train,0,potted_plant,2,256x256,640,480,19.03,27.93,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000005965_inst0003_crop_355_196,000000005965,3,,,potted plant,train,0,potted_plant,3,256x256,640,480,51.93,42.76,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000005965_inst0004_crop_20_87,000000005965,4,,,potted plant,train,0,potted_plant,2,256x256,640,480,26.63,35.38,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000005965_inst0005_crop_0_75,000000005965,5,,,potted plant,train,0,potted_plant,3,256x256,640,480,13.91,27.03,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000006216_inst0000_crop_190_20,000000006216,0,,,potted plant,train,0,potted_plant,4,256x256,640,427,29.5,37.89,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000006216_inst0001_crop_29_0,000000006216,1,,,potted plant,train,0,potted_plant,9,256x256,640,427,31.34,43.2,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000006216_inst0002_crop_67_32,000000006216,2,,,potted plant,train,0,potted_plant,8,256x256,640,427,24.99,44.22,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000006216_inst0003_crop_45_64,000000006216,3,,,potted plant,train,0,potted_plant,9,256x256,640,427,23.18,33.65,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000006216_inst0004_crop_0_55,000000006216,4,,,potted plant,train,0,potted_plant,8,256x256,640,427,45.58,39.25,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000006216_inst0005_crop_160_19,000000006216,5,,,potted plant,train,0,potted_plant,6,256x256,640,427,21.21,39.69,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000006216_inst0006_crop_81_25,000000006216,6,,,potted plant,train,0,potted_plant,8,256x256,640,427,14.32,22.45,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000006216_inst0007_crop_92_47,000000006216,7,,,potted plant,train,0,potted_plant,8,256x256,640,427,30.06,37.85,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000006216_inst0008_crop_10_34,000000006216,8,,,potted plant,train,0,potted_plant,8,256x256,640,427,24.37,38.25,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000006216_inst0009_crop_199_67,000000006216,9,,,potted plant,train,0,potted_plant,4,256x256,640,427,21.98,31.21,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000006357_inst0000_crop_127_20,000000006357,0,,,potted plant,train,0,potted_plant,1,256x256,480,640,57.7,59.73,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000006409_inst0000_crop_15_4,000000006409,0,,,potted plant,train,0,potted_plant,1,256x256,375,500,44.01,58.79,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000006627_inst0000_crop_41_0,000000006627,0,,,potted plant,train,0,potted_plant,1,256x256,640,353,120.69,140.54,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000006842_inst0000_crop_180_0,000000006842,0,,,potted plant,train,0,potted_plant,1,256x256,640,480,191.55,234.36,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000007139_inst0000_crop_1_61,000000007139,0,,,potted plant,train,0,potted_plant,3,256x256,640,427,84.7,56.7,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000007139_inst0002_crop_72_24,000000007139,2,,,potted plant,train,0,potted_plant,3,256x256,640,427,36.93,43.54,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000007276_inst0000_crop_10_312,000000007276,0,,,potted plant,train,0,potted_plant,1,256x256,460,640,43.78,88.72,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000007325_inst0000_crop_2_136,000000007325,0,,,potted plant,train,0,potted_plant,3,256x256,640,481,14.59,17.69,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000007325_inst0001_crop_16_32,000000007325,1,,,potted plant,train,0,potted_plant,3,256x256,640,481,33.96,15.68,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000007325_inst0002_crop_42_121,000000007325,2,,,potted plant,train,0,potted_plant,2,256x256,640,481,37.16,15.86,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000007394_inst0000_crop_227_0,000000007394,0,,,potted plant,train,0,potted_plant,1,256x256,500,333,68.67,149.75,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000007570_inst0000_crop_2_200,000000007570,0,,,potted plant,train,0,potted_plant,1,256x256,640,480,56.18,111.52,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000007570_inst0001_crop_171_140,000000007570,1,,,potted plant,train,0,potted_plant,1,256x256,640,480,66.03,83.07,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000007746_inst0000_crop_0_1,000000007746,0,,,potted plant,train,0,potted_plant,1,256x256,500,375,22.68,93.14,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000007890_inst0000_crop_306_106,000000007890,0,,,potted plant,train,0,potted_plant,1,256x256,640,480,107.63,124.84,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000007938_inst0000_crop_112_172,000000007938,0,,,potted plant,train,0,potted_plant,1,256x256,640,480,17.93,22.59,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000008114_inst0000_crop_211_15,000000008114,0,,,potted plant,train,0,potted_plant,2,256x256,500,339,65.66,96.97,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000008114_inst0001_crop_167_28,000000008114,1,,,potted plant,train,0,potted_plant,2,256x256,500,339,23.3,44.7,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000008238_inst0000_crop_203_21,000000008238,0,,,potted plant,train,0,potted_plant,2,256x256,480,640,23.73,45.66,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000008238_inst0001_crop_223_150,000000008238,1,,,potted plant,train,0,potted_plant,1,256x256,480,640,61.74,73.23,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000008602_inst0000_crop_231_7,000000008602,0,,,potted plant,train,0,potted_plant,1,256x256,490,490,138.85,155.55,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000008602_inst0001_crop_210_137,000000008602,1,,,potted plant,train,0,potted_plant,2,256x256,490,490,69.99,74.01,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000008649_inst0000_crop_0_18,000000008649,0,,,potted plant,train,0,potted_plant,2,256x256,480,640,46.49,92.04,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000008922_inst0000_crop_333_106,000000008922,0,,,potted plant,train,0,potted_plant,1,256x256,640,640,78.05,75.61,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000008922_inst0001_crop_1_114,000000008922,1,,,potted plant,train,0,potted_plant,1,256x256,640,640,46.73,48.31,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000009113_inst0000_crop_8_110,000000009113,0,,,potted plant,train,0,potted_plant,1,256x256,640,427,49.79,65.1,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000009174_inst0000_crop_338_84,000000009174,0,,,potted plant,train,0,potted_plant,1,256x256,604,453,26.91,62.46,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000009904_inst0000_crop_90_15,000000009904,0,,,potted plant,train,0,potted_plant,2,256x256,375,500,146.2,163.71,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000009904_inst0001_crop_114_85,000000009904,1,,,potted plant,train,0,potted_plant,2,256x256,375,500,88.18,97.97,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000010082_inst0000_crop_333_84,000000010082,0,,,potted plant,train,0,potted_plant,1,256x256,640,425,36.73,111.24,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000010138_inst0000_crop_383_69,000000010138,0,,,potted plant,train,0,potted_plant,1,256x256,640,480,75.67,229.98,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000010145_inst0000_crop_199_157,000000010145,0,,,potted plant,train,0,potted_plant,1,256x256,640,427,60.08,92.88,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000010149_inst0000_crop_309_3,000000010149,0,,,potted plant,train,0,potted_plant,1,256x256,640,484,87.1,84.79,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000010428_inst0000_crop_165_287,000000010428,0,,,potted plant,train,0,potted_plant,1,256x256,427,640,74.78,93.48,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
