sample_id,source_image_id,split,class_id,class_name,num_boxes,detector_name,detector_confidence_rule,min_object_size_rule,crop_size,source_width,source_height,privacy_blur_present,occlusion_expected,grouping_expected,derived_artifact_relpath,annotation_relpath,filter_stage,notes
aachen_000032_000019_crop_1690,aachen_000032_000019,train,0,pedestrian,5,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000033_000019_crop_1567,aachen_000033_000019,train,0,pedestrian,5,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000036_000019_crop_2961,aachen_000036_000019,train,0,pedestrian,4,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000039_000019_crop_2833,aachen_000039_000019,train,0,pedestrian,3,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000039_000019_crop_3023,aachen_000039_000019,train,0,pedestrian,3,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000042_000019_crop_435,aachen_000042_000019,train,0,pedestrian,11,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000042_000019_crop_481,aachen_000042_000019,train,0,pedestrian,11,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000045_000019_crop_1005,aachen_000045_000019,train,0,pedestrian,7,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000046_000019_crop_645,aachen_000046_000019,train,0,pedestrian,9,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000048_000019_crop_716,aachen_000048_000019,train,0,pedestrian,9,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000050_000019_crop_1273,aachen_000050_000019,train,0,pedestrian,6,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000050_000019_crop_1422,aachen_000050_000019,train,0,pedestrian,6,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000051_000019_crop_1570,aachen_000051_000019,train,0,pedestrian,5,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000051_000019_crop_3216,aachen_000051_000019,train,0,pedestrian,5,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000059_000019_crop_1571,aachen_000059_000019,train,0,pedestrian,5,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000059_000019_crop_1693,aachen_000059_000019,train,0,pedestrian,5,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000064_000019_crop_782,aachen_000064_000019,train,0,pedestrian,8,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000064_000019_crop_896,aachen_000064_000019,train,0,pedestrian,8,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000065_000019_crop_1006,aachen_000065_000019,train,0,pedestrian,7,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000065_000019_crop_1140,aachen_000065_000019,train,0,pedestrian,7,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000066_000019_crop_1572,aachen_000066_000019,train,0,pedestrian,5,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000069_000019_crop_2949,aachen_000069_000019,train,0,pedestrian,4,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000070_000019_crop_199,aachen_000070_000019,train,0,pedestrian,14,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000070_000019_crop_378,aachen_000070_000019,train,0,pedestrian,12,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000071_000019_crop_117,aachen_000071_000019,train,0,pedestrian,16,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000071_000019_crop_140,aachen_000071_000019,train,0,pedestrian,16,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000074_000019_crop_2237,aachen_000074_000019,train,0,pedestrian,3,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000081_000019_crop_2597,aachen_000081_000019,train,0,pedestrian,2,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000084_000019_crop_526,aachen_000084_000019,train,0,pedestrian,10,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000085_000019_crop_1573,aachen_000085_000019,train,0,pedestrian,5,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000086_000019_crop_1574,aachen_000086_000019,train,0,pedestrian,5,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000086_000019_crop_2707,aachen_000086_000019,train,0,pedestrian,5,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000087_000019_crop_783,aachen_000087_000019,train,0,pedestrian,8,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000089_000019_crop_784,aachen_000089_000019,train,0,pedestrian,8,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000090_000019_crop_251,aachen_000090_000019,train,0,pedestrian,13,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000090_000019_crop_285,aachen_000090_000019,train,0,pedestrian,13,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000092_000019_crop_785,aachen_000092_000019,train,0,pedestrian,8,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000093_000019_crop_1575,aachen_000093_000019,train,0,pedestrian,5,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000093_000019_crop_3174,aachen_000093_000019,train,0,pedestrian,5,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000094_000019_crop_1928,aachen_000094_000019,train,0,pedestrian,3,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000095_000019_crop_1274,aachen_000095_000019,train,0,pedestrian,6,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000097_000019_crop_2542,aachen_000097_000019,train,0,pedestrian,4,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000097_000019_crop_3243,aachen_000097_000019,train,0,pedestrian,4,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000098_000019_crop_1007,aachen_000098_000019,train,0,pedestrian,7,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000100_000019_crop_1576,aachen_000100_000019,train,0,pedestrian,5,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000105_000019_crop_1008,aachen_000105_000019,train,0,pedestrian,7,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000105_000019_crop_1141,aachen_000105_000019,train,0,pedestrian,7,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000106_000019_crop_647,aachen_000106_000019,train,0,pedestrian,9,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000106_000019_crop_717,aachen_000106_000019,train,0,pedestrian,9,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000107_000019_crop_1009,aachen_000107_000019,train,0,pedestrian,7,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000107_000019_crop_1142,aachen_000107_000019,train,0,pedestrian,7,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000109_000019_crop_482,aachen_000109_000019,train,0,pedestrian,11,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000110_000019_crop_3205,aachen_000110_000019,train,0,pedestrian,4,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000111_000019_crop_325,aachen_000111_000019,train,0,pedestrian,12,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000113_000019_crop_1275,aachen_000113_000019,train,0,pedestrian,6,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000115_000019_crop_2191,aachen_000115_000019,train,0,pedestrian,3,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000116_000019_crop_1010,aachen_000116_000019,train,0,pedestrian,7,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000116_000019_crop_1143,aachen_000116_000019,train,0,pedestrian,7,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000117_000019_crop_200,aachen_000117_000019,train,0,pedestrian,14,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000117_000019_crop_230,aachen_000117_000019,train,0,pedestrian,14,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000131_000019_crop_1579,aachen_000131_000019,train,0,pedestrian,5,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000138_000019_crop_1426,aachen_000138_000019,train,0,pedestrian,6,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000140_000019_crop_1427,aachen_000140_000019,train,0,pedestrian,6,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000150_000019_crop_2547,aachen_000150_000019,train,0,pedestrian,2,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000160_000019_crop_1743,aachen_000160_000019,train,0,pedestrian,2,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000160_000019_crop_3224,aachen_000160_000019,train,0,pedestrian,2,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000161_000019_crop_2958,aachen_000161_000019,train,0,pedestrian,4,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000164_000019_crop_648,aachen_000164_000019,train,0,pedestrian,9,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000164_000019_crop_718,aachen_000164_000019,train,0,pedestrian,9,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bochum_000000_001828_crop_2149,bochum_000000_001828,train,0,pedestrian,3,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bochum_000000_009951_crop_1277,bochum_000000_009951,train,0,pedestrian,6,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bochum_000000_009951_crop_1428,bochum_000000_009951,train,0,pedestrian,6,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bochum_000000_014803_crop_1014,bochum_000000_014803,train,0,pedestrian,7,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bochum_000000_016758_crop_2109,bochum_000000_016758,train,0,pedestrian,4,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bochum_000000_017453_crop_2957,bochum_000000_017453,train,0,pedestrian,3,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bochum_000000_020776_crop_2447,bochum_000000_020776,train,0,pedestrian,3,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000004_000019_crop_527,bremen_000004_000019,train,0,pedestrian,10,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000004_000019_crop_587,bremen_000004_000019,train,0,pedestrian,10,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000006_000019_crop_327,bremen_000006_000019,train,0,pedestrian,12,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000008_000019_crop_3112,bremen_000008_000019,train,0,pedestrian,4,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000009_000019_crop_1015,bremen_000009_000019,train,0,pedestrian,7,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000009_000019_crop_1146,bremen_000009_000019,train,0,pedestrian,7,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000010_000019_crop_1697,bremen_000010_000019,train,0,pedestrian,3,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000011_000019_crop_328,bremen_000011_000019,train,0,pedestrian,12,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000011_000019_crop_382,bremen_000011_000019,train,0,pedestrian,12,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000012_000019_crop_286,bremen_000012_000019,train,0,pedestrian,13,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000014_000019_crop_2045,bremen_000014_000019,train,0,pedestrian,3,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000017_000019_crop_787,bremen_000017_000019,train,0,pedestrian,8,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000017_000019_crop_901,bremen_000017_000019,train,0,pedestrian,8,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000022_000019_crop_2837,bremen_000022_000019,train,0,pedestrian,3,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000023_000019_crop_650,bremen_000023_000019,train,0,pedestrian,9,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000023_000019_crop_902,bremen_000023_000019,train,0,pedestrian,8,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000025_000019_crop_1898,bremen_000025_000019,train,0,pedestrian,3,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000025_000019_crop_3154,bremen_000025_000019,train,0,pedestrian,3,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000026_000019_crop_1148,bremen_000026_000019,train,0,pedestrian,7,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000037_000019_crop_2372,bremen_000037_000019,train,0,pedestrian,4,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000044_000019_crop_383,bremen_000044_000019,train,0,pedestrian,12,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000045_000019_crop_330,bremen_000045_000019,train,0,pedestrian,12,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000045_000019_crop_384,bremen_000045_000019,train,0,pedestrian,12,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000047_000019_crop_3033,bremen_000047_000019,train,0,pedestrian,3,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000051_000019_crop_1909,bremen_000051_000019,train,0,pedestrian,2,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000052_000019_crop_254,bremen_000052_000019,train,0,pedestrian,13,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000052_000019_crop_287,bremen_000052_000019,train,0,pedestrian,13,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000053_000019_crop_788,bremen_000053_000019,train,0,pedestrian,8,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
bremen_000053_000019_crop_903,bremen_000053_000019,train,0,pedestrian,8,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
