dataset,sample_id,source_image_id,split,box_index,class_id,class_name,x_center,y_center,width,height,format,crop_size,notes
Cityscapes--Pedestrian,aachen_000012_000019_crop_585,aachen_000012_000019,train,8,0,pedestrian,0.572266,0.328125,0.113281,0.281250,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000012_000019_crop_585,aachen_000012_000019,train,9,0,pedestrian,0.724609,0.392578,0.128906,0.285156,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000013_000019_crop_1003,aachen_000013_000019,train,0,0,pedestrian,0.826172,0.765625,0.058594,0.140625,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000013_000019_crop_1003,aachen_000013_000019,train,1,0,pedestrian,0.853516,0.767578,0.058594,0.144531,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000013_000019_crop_1003,aachen_000013_000019,train,2,0,pedestrian,0.728516,0.769531,0.058594,0.140625,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000013_000019_crop_1003,aachen_000013_000019,train,3,0,pedestrian,0.474609,0.757812,0.089844,0.218750,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000013_000019_crop_1003,aachen_000013_000019,train,4,0,pedestrian,0.378906,0.763672,0.078125,0.183594,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000013_000019_crop_1003,aachen_000013_000019,train,5,0,pedestrian,0.171875,0.750000,0.078125,0.187500,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000013_000019_crop_1003,aachen_000013_000019,train,6,0,pedestrian,0.080078,0.773438,0.152344,0.375000,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000013_000019_crop_1137,aachen_000013_000019,train,0,0,pedestrian,0.826172,0.535156,0.058594,0.140625,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000013_000019_crop_1137,aachen_000013_000019,train,1,0,pedestrian,0.853516,0.537109,0.058594,0.144531,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000013_000019_crop_1137,aachen_000013_000019,train,2,0,pedestrian,0.728516,0.539062,0.058594,0.140625,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000013_000019_crop_1137,aachen_000013_000019,train,3,0,pedestrian,0.474609,0.527344,0.089844,0.218750,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000013_000019_crop_1137,aachen_000013_000019,train,4,0,pedestrian,0.378906,0.533203,0.078125,0.183594,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000013_000019_crop_1137,aachen_000013_000019,train,5,0,pedestrian,0.171875,0.519531,0.078125,0.187500,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000013_000019_crop_1137,aachen_000013_000019,train,6,0,pedestrian,0.080078,0.542969,0.152344,0.375000,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000014_000019_crop_780,aachen_000014_000019,train,0,0,pedestrian,0.361328,0.507812,0.121094,0.289062,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000014_000019_crop_780,aachen_000014_000019,train,1,0,pedestrian,0.525391,0.554688,0.175781,0.429688,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000014_000019_crop_780,aachen_000014_000019,train,2,0,pedestrian,0.484375,0.550781,0.187500,0.453125,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000014_000019_crop_780,aachen_000014_000019,train,3,0,pedestrian,0.884766,0.529297,0.199219,0.488281,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000014_000019_crop_780,aachen_000014_000019,train,4,0,pedestrian,0.132812,0.560547,0.265625,0.878906,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000014_000019_crop_780,aachen_000014_000019,train,5,0,pedestrian,0.207031,0.539062,0.414062,0.921875,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000014_000019_crop_780,aachen_000014_000019,train,6,0,pedestrian,0.111328,0.503906,0.222656,0.757812,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000014_000019_crop_780,aachen_000014_000019,train,7,0,pedestrian,0.484375,0.476562,0.117188,0.203125,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000014_000019_crop_893,aachen_000014_000019,train,0,0,pedestrian,0.361328,0.277344,0.121094,0.289062,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000014_000019_crop_893,aachen_000014_000019,train,1,0,pedestrian,0.525391,0.324219,0.175781,0.429688,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000014_000019_crop_893,aachen_000014_000019,train,2,0,pedestrian,0.484375,0.320312,0.187500,0.453125,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000014_000019_crop_893,aachen_000014_000019,train,3,0,pedestrian,0.884766,0.298828,0.199219,0.488281,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000014_000019_crop_893,aachen_000014_000019,train,4,0,pedestrian,0.132812,0.500000,0.265625,1.000000,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000014_000019_crop_893,aachen_000014_000019,train,5,0,pedestrian,0.207031,0.500000,0.414062,1.000000,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000014_000019_crop_893,aachen_000014_000019,train,6,0,pedestrian,0.111328,0.326172,0.222656,0.652344,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000014_000019_crop_893,aachen_000014_000019,train,7,0,pedestrian,0.484375,0.246094,0.117188,0.203125,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000015_000019_crop_433,aachen_000015_000019,train,0,0,pedestrian,0.812500,0.515625,0.085938,0.210938,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000015_000019_crop_433,aachen_000015_000019,train,1,0,pedestrian,0.740234,0.523438,0.082031,0.203125,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000015_000019_crop_433,aachen_000015_000019,train,2,0,pedestrian,0.365234,0.529297,0.113281,0.277344,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000015_000019_crop_433,aachen_000015_000019,train,3,0,pedestrian,0.285156,0.531250,0.109375,0.265625,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000015_000019_crop_433,aachen_000015_000019,train,4,0,pedestrian,0.185547,0.525391,0.113281,0.277344,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000015_000019_crop_433,aachen_000015_000019,train,5,0,pedestrian,0.615234,0.593750,0.246094,0.601562,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000015_000019_crop_433,aachen_000015_000019,train,6,0,pedestrian,0.490234,0.613281,0.253906,0.617188,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000015_000019_crop_433,aachen_000015_000019,train,7,0,pedestrian,0.888672,0.621094,0.222656,0.664062,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000015_000019_crop_433,aachen_000015_000019,train,8,0,pedestrian,0.935547,0.617188,0.128906,0.687500,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000015_000019_crop_433,aachen_000015_000019,train,9,0,pedestrian,0.488281,0.589844,0.343750,0.546875,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000015_000019_crop_433,aachen_000015_000019,train,10,0,pedestrian,0.919922,0.500000,0.160156,0.390625,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000016_000019_crop_116,aachen_000016_000019,train,0,0,pedestrian,0.287109,0.486328,0.113281,0.277344,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000016_000019_crop_116,aachen_000016_000019,train,1,0,pedestrian,0.345703,0.517578,0.144531,0.355469,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000016_000019_crop_116,aachen_000016_000019,train,2,0,pedestrian,0.460938,0.496094,0.156250,0.375000,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000016_000019_crop_116,aachen_000016_000019,train,3,0,pedestrian,0.732422,0.576172,0.253906,0.621094,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000016_000019_crop_116,aachen_000016_000019,train,4,0,pedestrian,0.714844,0.607422,0.242188,0.582031,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000016_000019_crop_116,aachen_000016_000019,train,5,0,pedestrian,0.736328,0.580078,0.285156,0.691406,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000016_000019_crop_116,aachen_000016_000019,train,6,0,pedestrian,0.976562,0.589844,0.046875,0.625000,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000016_000019_crop_116,aachen_000016_000019,train,7,0,pedestrian,0.939453,0.585938,0.121094,0.601562,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000016_000019_crop_116,aachen_000016_000019,train,8,0,pedestrian,0.160156,0.513672,0.117188,0.285156,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000016_000019_crop_116,aachen_000016_000019,train,9,0,pedestrian,0.857422,0.591797,0.285156,0.714844,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000016_000019_crop_116,aachen_000016_000019,train,10,0,pedestrian,0.091797,0.541016,0.136719,0.332031,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000016_000019_crop_116,aachen_000016_000019,train,11,0,pedestrian,0.125000,0.515625,0.156250,0.382812,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000016_000019_crop_116,aachen_000016_000019,train,12,0,pedestrian,0.591797,0.474609,0.105469,0.261719,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000016_000019_crop_116,aachen_000016_000019,train,13,0,pedestrian,0.789062,0.539062,0.218750,0.593750,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000016_000019_crop_116,aachen_000016_000019,train,14,0,pedestrian,0.109375,0.486328,0.109375,0.285156,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000016_000019_crop_116,aachen_000016_000019,train,15,0,pedestrian,0.373047,0.435547,0.238281,0.238281,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_250,aachen_000017_000019,train,0,0,pedestrian,0.039062,0.462891,0.062500,0.152344,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_250,aachen_000017_000019,train,1,0,pedestrian,0.115234,0.484375,0.050781,0.117188,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_250,aachen_000017_000019,train,2,0,pedestrian,0.169922,0.490234,0.042969,0.105469,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_250,aachen_000017_000019,train,3,0,pedestrian,0.210938,0.486328,0.039062,0.097656,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_250,aachen_000017_000019,train,4,0,pedestrian,0.263672,0.474609,0.042969,0.105469,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_250,aachen_000017_000019,train,5,0,pedestrian,0.751953,0.574219,0.230469,0.562500,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_250,aachen_000017_000019,train,6,0,pedestrian,0.960938,0.560547,0.078125,0.503906,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_250,aachen_000017_000019,train,7,0,pedestrian,0.664062,0.603516,0.328125,0.792969,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_250,aachen_000017_000019,train,8,0,pedestrian,0.855469,0.587891,0.289062,0.824219,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_250,aachen_000017_000019,train,9,0,pedestrian,0.490234,0.501953,0.566406,0.996094,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_250,aachen_000017_000019,train,10,0,pedestrian,0.373047,0.531250,0.589844,0.937500,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_250,aachen_000017_000019,train,11,0,pedestrian,0.939453,0.505859,0.121094,0.988281,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_250,aachen_000017_000019,train,12,0,pedestrian,0.550781,0.515625,0.898438,0.968750,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_284,aachen_000017_000019,train,0,0,pedestrian,0.039062,0.232422,0.062500,0.152344,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_284,aachen_000017_000019,train,1,0,pedestrian,0.115234,0.253906,0.050781,0.117188,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_284,aachen_000017_000019,train,2,0,pedestrian,0.169922,0.259766,0.042969,0.105469,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_284,aachen_000017_000019,train,3,0,pedestrian,0.210938,0.255859,0.039062,0.097656,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_284,aachen_000017_000019,train,4,0,pedestrian,0.263672,0.244141,0.042969,0.105469,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_284,aachen_000017_000019,train,5,0,pedestrian,0.751953,0.343750,0.230469,0.562500,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_284,aachen_000017_000019,train,6,0,pedestrian,0.960938,0.330078,0.078125,0.503906,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_284,aachen_000017_000019,train,7,0,pedestrian,0.664062,0.388672,0.328125,0.777344,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_284,aachen_000017_000019,train,8,0,pedestrian,0.855469,0.392578,0.289062,0.785156,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_284,aachen_000017_000019,train,9,0,pedestrian,0.490234,0.500000,0.566406,1.000000,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_284,aachen_000017_000019,train,10,0,pedestrian,0.373047,0.500000,0.589844,1.000000,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_284,aachen_000017_000019,train,11,0,pedestrian,0.939453,0.500000,0.121094,1.000000,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000017_000019_crop_284,aachen_000017_000019,train,12,0,pedestrian,0.550781,0.500000,0.898438,1.000000,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000018_000019_crop_376,aachen_000018_000019,train,0,0,pedestrian,0.134766,0.474609,0.082031,0.207031,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000018_000019_crop_376,aachen_000018_000019,train,1,0,pedestrian,0.238281,0.484375,0.078125,0.187500,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000018_000019_crop_376,aachen_000018_000019,train,2,0,pedestrian,0.281250,0.505859,0.062500,0.152344,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000018_000019_crop_376,aachen_000018_000019,train,3,0,pedestrian,0.335938,0.425781,0.203125,0.492188,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000018_000019_crop_376,aachen_000018_000019,train,4,0,pedestrian,0.480469,0.412109,0.164062,0.402344,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000018_000019_crop_376,aachen_000018_000019,train,5,0,pedestrian,0.556641,0.392578,0.183594,0.449219,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000018_000019_crop_376,aachen_000018_000019,train,6,0,pedestrian,0.638672,0.472656,0.105469,0.257812,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000018_000019_crop_376,aachen_000018_000019,train,7,0,pedestrian,0.714844,0.470703,0.125000,0.300781,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000018_000019_crop_376,aachen_000018_000019,train,8,0,pedestrian,0.886719,0.388672,0.226562,0.730469,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000018_000019_crop_376,aachen_000018_000019,train,9,0,pedestrian,0.802734,0.500000,0.050781,0.171875,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000018_000019_crop_376,aachen_000018_000019,train,10,0,pedestrian,0.828125,0.408203,0.007812,0.003906,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000018_000019_crop_376,aachen_000018_000019,train,11,0,pedestrian,0.429688,0.292969,0.320312,0.234375,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000019_000019_crop_324,aachen_000019_000019,train,0,0,pedestrian,0.128906,0.472656,0.078125,0.195312,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000019_000019_crop_324,aachen_000019_000019,train,1,0,pedestrian,0.273438,0.552734,0.132812,0.324219,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000019_000019_crop_324,aachen_000019_000019,train,2,0,pedestrian,0.791016,0.484375,0.097656,0.234375,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000019_000019_crop_324,aachen_000019_000019,train,3,0,pedestrian,0.902344,0.515625,0.093750,0.226562,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000019_000019_crop_324,aachen_000019_000019,train,4,0,pedestrian,0.962891,0.525391,0.074219,0.300781,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000019_000019_crop_324,aachen_000019_000019,train,5,0,pedestrian,0.857422,0.527344,0.136719,0.335938,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000019_000019_crop_324,aachen_000019_000019,train,6,0,pedestrian,0.732422,0.621094,0.222656,0.539062,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000019_000019_crop_324,aachen_000019_000019,train,7,0,pedestrian,0.453125,0.605469,0.257812,0.625000,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000019_000019_crop_324,aachen_000019_000019,train,8,0,pedestrian,0.259766,0.533203,0.300781,0.355469,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000019_000019_crop_324,aachen_000019_000019,train,9,0,pedestrian,0.599609,0.548828,0.160156,0.332031,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000019_000019_crop_324,aachen_000019_000019,train,10,0,pedestrian,0.402344,0.595703,0.367188,0.550781,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000019_000019_crop_324,aachen_000019_000019,train,11,0,pedestrian,0.837891,0.560547,0.324219,0.402344,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000019_000019_crop_377,aachen_000019_000019,train,0,0,pedestrian,0.128906,0.242188,0.078125,0.195312,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000019_000019_crop_377,aachen_000019_000019,train,1,0,pedestrian,0.273438,0.322266,0.132812,0.324219,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000019_000019_crop_377,aachen_000019_000019,train,2,0,pedestrian,0.791016,0.253906,0.097656,0.234375,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000019_000019_crop_377,aachen_000019_000019,train,3,0,pedestrian,0.902344,0.285156,0.093750,0.226562,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
